"Name",                   Formula",          "Mass", "log P", "HB Donors", "HB Acceptors", "Rotatable Bonds", "Polar Surface", "Heavy Atom", "Complexity", "Density", "Boiling", "Melting"
"Hexane",                 C₆H₁₄,            86.18,   3.9,     0,           0,              3,                 0,                6,           12,           0.659,     69,        -95
"Dihydrogen",             H₂,               2.016,     0,     0,           0,              0,                 0,                0,            0,           0.000082, -259.16, -252.76
"Ibuprofen",              C₁₃H₁₈O₂,         206.28,  3.5,     1,           2,              4,                 37.3,            15,           203,          1.03,      157,       76
"Icosane",                C₂₀H₄₂,           282.5, 11.38,     0,           0,             17,                 0,               20,           132,          0.7886,    344.1,    36.47
"Krypton",                Kr,                83.8,  0.89,     0,           0,              0,                 0,                1,           0,            2.9,      -153.2,   -157.3
"Lipitor",                C₆₆H₆₈CaF₂N₄O₁₀,  1155.3, 5.39,     6,          12,             22,                 229,             83,           817,          NA,        722,       164
"Metformin",              C₄H₁₁N₅,          129.16, -1.3,     3,           1,              2,                 91.5,             9,           132,          1.3,       172.5,     224.5
"Methane",                CH₄,              16.043,  0.6,     0,           0,              0,                 0,                1,           0,            0.716,     -161,      -183
"Morphine",               C₁₇H₁₉NO₃,        285.34,  0.8,     2,           4,              0,                 52.9,            21,           494,          1.4,       476.2,     254
"NaCl",                   NaCl,              58.44,    0,     0,           1,              0,                 0,                2,            2,           2.165,     1465,     800.8
"Neon",                   Ne,                20.18, 0.28,     0,           0,              0,                 0,                1,            0,           1.442,     -246,    -248.67
"Dinitrogen",             N₂,               28.013,    0,     0,           2,              0,                 47.6,             2,            8,           0.00125, -195.79,   -210.01
"Nitroglycerin",          C₃H₅N₃O₉,         227.09,  1.6,     0,           9,              5,                 165,             15,           219,          1.6,       250,       13.5
"Nonadecane",             C₁₉H₄₀,           268.5, 10.85,     0,           0,             16,                 0,               19,           123,          0.786,     330,        33
"Nonane",                 C₉H₂₀,            128.25,  4.5,     0,           0,              6,                 0,                9,           33.3,         0.718,     151,       -53
"Octadecane",             C₁₈H₃₈,           254.5, 10.32,     0,           0,             15,                 0,               18,           112,          0.777,     317,        28
"Octane",                 C₈H₁₈,            114.23,  3.9,     0,           0,              5,                 0,                8,           25,           0.703,     125,       -57
"Ozone",                  O₃,               47.998, -1.7,     0,           2,              0,                 41.1,             3,           4.8,          1.5,      -110.51,   -192.7
"Dioxygen",               O₂,                 32,   0.65,     0,           2,              0,                 34.1,             2,           0,            0.00143,  -183,      -218.4
"Paxlovid",               C₂₃H₃₂F₃N₅O₄,     499.5,   2.2,     3,           8,              7,                 131,             35,           964,          1.3,       742.4,     192.9
"Penicillin G",           C₁₆H₁₈N₂O₄S,      334.4,   1.8,     2,           5,              4,                 112,             23,           530,          1.4,       663.3,     215.5
"Pentadecane",            C₁₅H₃₂,          212.41,   7.7,     0,           0,             12,                 0,               15,          84.2,          0.769,     270.6,     9.9
"Pentane",                C₅H₁₂,            72.15,   3.4,     0,           0,              2,                 0,                5,           7.5,          0.626,     36,        -130
"Propane",                C₃H₈,             44.10,   1.8,     0,           0,              0,                 0,                3,           0,            0.564,     -42.1,     -188
"Tetracosane",            C₂₄H₅₀,          338.7,  13.51,     0,           0,             21,                 0,               24,           174,          0.797,     391.3,     52
"Tetradecane",            C₁₄H₃₀,          198.39,   7.2,     0,           0,             11,                 0,               14,           74,           0.762,     253.52,    5.8
"Thioketal Haloperidol",  C₂₃H₂₇ClFNOS₂,    452.1,   5.4,     1,           5,              6,                 74.1,            29,           509,          1.3,       593.9,     NA
"Thorazine",              C₁₇H₁₉ClN₂S,      318.9,   5.2,     0,           3,              4,                 31.8,            21,           339,          1.2,       450.1,     57
"Tricosane",              C₂₃H₄₈,           324.6, 12.98,     0,           0,             20,                 0,               23,           165,          0.797,     380,       48
"Tridecane",              C₁₃H₂₈,           184.36,  6.6,     0,           0,             10,                 0,               13,           66.1,         0.756,     235.4,     -5.37
"Undecane",               C₁₁H₂₄,           156.31,  5.6,     0,           0,              8,                 0,               11,           49.1,         0.74,      195.9,     -25.54
"Urea",                   CH₄N₂O,           60.056, -1.43,    2,           1,              0,                 69.1,             4,           29,           1.6,       165.1,     132.7
"Vanillin",               C₈H₈O₃,           152.15,  1.21,    1,           3,              2,                 46.5,            11,           135,          1.06,      285,       81.5
"Viagra",                 C₂₈H₃₈N₆O₁₁S,     666.7,   1.8,     5,          15,             12,                 250,             46,           1070,         1.447,     672.4,     187
"Voxelotor",              C₁₉H₁₉N₃O₃,       337.4,   2.7,     1,           5,              6,                 77.2,            25,           434,          1.2,       539.2,     80
"Water",                  H₂O,             18.015,  -0.5,     1,           1,              0,                 1,                1,           0,            1,         100,       0
"Xenon",                  Xe,              131.29,  1.28,     0,           0,              0,                 0,                1,           0,            0.005894,  -108.1,   -111.75
"Zidovudine",             C₁₀H₁₃N₅O₄,      267.24,  0.05,     2,           6,              3,                 93.2,            19,           484,          1.34,      410.43,    113
"Zyrtec",                 C₂₁H₂₇Cl₃N₂O₃,    461.8,  0.86,     3,           5,              8,                 53,              29,           443,          1.237,     542.1,     110
