"Name",                   "Formula",         "Mass", "log P", "HB Donors", "HB Acceptors", "Rotatable Bonds", "Polar Surface", "Heavy Atom", "Complexity", "Density", "Boiling", "Melting",  "SMILES","InChl"
"Biphenyl",               C₁₂H₁₀,          154.21,  3.98,     0,           0,              1,                 0,               12,           100,          1.0,       255,         69.2,"C1=CC=C(C=C1)C2=CC=CC=C2","InChI=1S/C12H10/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h1-10H"
"Buckminsterfullerene",   C₆₀,              720.6,  18.3,     0,           0,              0,                 0,               60,           2030,         1.65,      527,          280,"C12=C3C4=C5C6=C1C7=C8C9=C1C%10=C%11C(=C29)C3=C2C3=C4C4=C5C5=C9C6=C7C6=C7C8=C1C1=C8C%10=C%10C%11=C2C2=C3C3=C4C4=C5C5=C%11C%12=C(C6=C95)C7=C1C1=C%12C5=C%11C4=C3C3=C5C(=C81)C%10=C23","InChI=1S/C60/c1-2-5-6-3(1)8-12-10-4(1)9-11-7(2)17-21-13(5)23-24-14(6)22-18(8)28-20(12)30-26-16(10)15(9)25-29-19(11)27(17)37-41-31(21)33(23)43-44-34(24)32(22)42-38(28)48-40(30)46-36(26)35(25)45-39(29)47(37)55-49(41)51(43)57-52(44)50(42)56(48)59-54(46)53(45)58(55)60(57)59"
"Butane",                 C₄H₁₀,            58.12,   2.9,     0,           0,              1,                 0,                4,           2,            0.6,       -0.5,        -138,"CCCC","InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3"
"Carbon Dioxide",         CO₂,             44.009,  0.83,     0,           2,              0,                 34.1,             3,           18.3,         0.0018,    -78.46,    -56.56,"C(=O)=O","InChI=1S/CO2/c2-1-3"
"Carbon Monoxide",        CO,               28.01,   0.7,     0,           1,              0,                 1,                2,           10,           0.00125,  −191.5,    −205.02,"[C-]#[O+]","InChI=1S/CO/c1-2"
"Caffeine",               C₈H₁₀N₄O₂,       194.19,  -0.1,     0,           3,              0,                 58.4,            14,           293,          1.23,      178,          238,"CN1C=NC2=C1C(=O)N(C(=O)N2C)C","InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3"
"Cholesterol",            C₂₇H₄₆O,          386.7,   8.7,     1,           1,              5,                 20.2,            28,           591,          1.067,     360,        148.5,"C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C","InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3/t19-,21+,22+,23-,24+,25+,26+,27-/m1/s1"
"Citric Acid",            C₆H₈O₇,          192.12, -1.72,     4,           7,              5,                 132,             13,           227,          1.8,      309.6,         153,"C(C(=O)O)C(CC(=O)O)(C(=O)O)O","InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)"
"Claritin",               C₂₂H₂₃ClN₂O₂,     382.9,   5.2,     0,           3,              2,                 42.4,            27,           569,          1.3,       531,          137,"CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1","InChI=1S/C22H23ClN2O2/c1-2-27-22(26)25-12-9-15(10-13-25)20-19-8-7-18(23)14-17(19)6-5-16-4-3-11-24-21(16)20/h3-4,7-8,11,14H,2,5-6,9-10,12-13H2,1H3"
"Coronene",               C₂₄H₁₂,           300.4,  7.38,     0,           0,              0,                 0,               24,           376,          1.5,     525.6,          438,"C1=CC2=C3C4=C1C=CC5=C4C6=C(C=C5)C=CC7=C6C3=C(C=C2)C=C7","InChI=1S/C24H12/c1-2-14-5-6-16-9-11-18-12-10-17-8-7-15-4-3-13(1)19-20(14)22(16)24(18)23(17)21(15)19/h1-12H"
"Cyclopropane",           C₃H₆,             42.08,  1.69,     0,           0,              0,                 0,                3,           4.8,          0.8,       -33,      -127.62,"C1CC1","InChI=1S/C3H6/c1-2-3-1/h1-3H2"
"Cyclobutane",            C₄H₈,             56.11,  2.26,     0,           0,              0,                 0,                4,           8,            0.8,       12.5,      -90.67,"C1CCC1","InChI=1S/C4H8/c1-2-4-3-1/h1-4H2"
"Cyclopentane",           C₅H₁₀,            70.13,  2.82,     0,           0,              0,                 0,                5,          11.6,          0.8,       49.2,         -94,"C1CCCC1","InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2"
"Cyclohexane",            C₆H₁₂,            84.16,  3.39,     0,           0,              0,                 0,                6,          15.5,          0.8,       80.7,         6.5,"C1CCCCC1","InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2"
"Cycloheptane",           C₇H₁₄,            98.19,  3.95,     0,           0,              0,                 0,                7,          19.7,          0.8,      118.5,         -12,"C1CCCCCC1","InChI=1S/C7H14/c1-2-4-6-7-5-3-1/h1-7H2"
"Cyclooctane",            C₈H₁₆,           112.21,  4.51,     0,           0,              0,                 0,                8,           24,           0.8,      152.0,          12,"C1CCCCCCC1","InChI=1S/C8H16/c1-2-4-6-8-7-5-3-1/h1-8H2"
"Cyclononane",            C₉H₁₈,           126.24,  5.08,     0,           0,              0,                 0,                9,          28.5,          0.8,      178.4,          11,"C1CCCCCCCC1","InChI=1S/C9H18/c1-2-4-6-8-9-7-5-3-1/h1-9H2"
"Cyclodecane",            C₁₀H₂₀,          140.27,  5.64,     0,           0,              0,                 0,               10,          33.2,          0.8,      201.0,          10,"C1CCCCCCCCC1","InChI=1S/C10H20/c1-2-4-6-8-10-9-7-5-3-1/h1-10H2"
"Cycloundecane",          C₁₁H₂₂,          154.29,  6.21,     0,           0,              0,                 0,               11,          38.1,          0.8,      218.4,          -7,"C1CCCCCCCCCC1","InChI=1S/C11H22/c1-2-4-6-8-10-11-9-7-5-3-1/h1-11H2"
"Cyclododecane",          C₁₂H₂₄,          168.32,  6.77,     0,           0,              0,                 0,               12,            43,          0.8,      247.0,          59,"C1CCCCCCCCCCC1","InChI=1S/C12H24/c1-2-4-6-8-10-12-11-9-7-5-3-1/h1-12H2"
"Cyclotridecane",         C₁₃H₂₆,          182.35,  7.34,     0,           0,              0,                 0,               13,          48.1,          0.8,      261.0,          23,"C1CCCCCCCCCCCC1","InChI=1S/C13H26/c1-2-4-6-8-10-12-13-11-9-7-5-3-1/h1-13H2"
"Cyclotetradecane",       C₁₄H₂₈,          196.37,  7.90,     0,           0,              0,                 0,               14,          53.3,          0.8,      280.9,          54,"C1CCCCCCCCCCCCC1","InChI=1S/C14H28/c1-2-4-6-8-10-12-14-13-11-9-7-5-3-1/h1-14H2"
"Cyclopentadecane",       C₁₅H₃₀,          210.40,  8.46,     0,           0,              0,                 0,               15,          58.6,          0.8,      300.1,          62,"C1CCCCCCCCCCCCCC1","InChI=1S/C15H30/c1-2-4-6-8-10-12-14-15-13-11-9-7-5-3-1/h1-15H2"
"Cysteine",               C₃H₇NO₂S,        121.16,  0.23,     3,           4,              2,                 64.3,             7,          75.3,          1.3,       293.9,        240,"C([C@@H](C(=O)O)N)S","InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)/t2-/m0/s1"
"Cytosine",               C₄H₅N₃O,          111.1,  2.29,     2,           2,              0,                 67.5,             8,           170,          1.6,       445.8,        320,"C1=C(NC(=O)N=C1)N","InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)"
"D-Glucose",              C₆H₁₂O₆,         180.16,  -2.6,     5,           6,              1,                 110,             12,           151,          1.544,     410.8,        150,"C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O","InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1"
"Darunavir",              C₂₇H₃₇N₃O₇S,      547.7,   2.9,     3,           9,             12,                 149,             38,           853,          1.3,       311.6,         74,"CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N","InChI=1S/C27H37N3O7S/c1-18(2)15-30(38(33,34)21-10-8-20(28)9-11-21)16-24(31)23(14-19-6-4-3-5-7-19)29-27(32)37-25-17-36-26-22(25)12-13-35-26/h3-11,18,22-26,31H,12-17,28H2,1-2H3,(H,29,32)/t22-,23-,24+,25-,26+/m0/s1"
"Decane",                 C₁₀H₂₂,          142.28,   5.0,     0,           0,              7,                 0,               10,           40,           0.73,      174.1,      -29.7,"CCCCCCCCCC","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3"
"Dihydrogen",             H₂,               2.016,     0,     0,           0,              0,                 0,                0,            0,           0.000082, -259.16,   -252.76,"[HH]","InChI=1S/H2/h1H"
"Dinitrogen",             N₂,               28.013,    0,     0,           2,              0,                 47.6,             2,            8,           0.00125, -195.79,    -210.01,"N#N","InChI=1S/N2/c1-2"
"Dioxygen",               O₂,                 32,   0.65,     0,           2,              0,                 34.1,             2,           0,            0.00143,  -183,       -218.4,"O=O","InChI=1S/O2/c1-2"
"Docosane",               C₂₂H₄₆,           310.6, 12.44,     0,           0,             19,                 0,               22,           153,          0.778,     370,           44,"CCCCCCCCCCCCCCCCCCCCCC","InChI=1S/C22H46/c1-3-5-7-9-11-13-15-17-19-21-22-20-18-16-14-12-10-8-6-4-2/h3-22H2,1-2H3"
"Dodecane",               C₁₂H₂₆,          170.33,   6.1,     0,           0,              9,                 0,               12,           56.4,         0.75,      216.3,      -9.55,"CCCCCCCCCCCC","InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3"
"Durene",                 C₁₀H₁₄,          134.22,  4.06,     0,           0,              0,                 0,               10,           80.6,         0.868,     192,         79.2,"CC1=CC(=C(C=C1C)C)C","InChI=1S/C10H14/c1-7-5-9(3)10(4)6-8(7)2/h5-6H,1-4H3"
"Efaproxiral",            C₂₀H₂₃NO₄,        341.4,   3.6,     2,           4,              6,                 75.6,            25,           458,          1.2,       554.5,        138,"CC1=CC(=CC(=C1)NC(=O)CC2=CC=C(C=C2)OC(C)(C)C(=O)O)C","InChI=1S/C20H23NO4/c1-13-9-14(2)11-16(10-13)21-18(22)12-15-5-7-17(8-6-15)25-20(3,4)19(23)24/h5-11H,12H2,1-4H3,(H,21,22)(H,23,24)"
"Elaidic Acid",           C₁₈H₃₄O₂,         282.5,  6.78,     1,           2,             15,                 37.3,            20,           234,          0.9,       288,           44,"CCCCCCCC/C=C/CCCCCCCC(=O)O","InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9+"
"Ethane",                 C₂H₆,             30.07,  1.81,     0,           0,              0,                 0,                2,           0,            0.362,     -88,         -172,"CC","InChI=1S/C2H6/c1-2/h1-2H3"
"Ethanol",                C₂H₆O,            46.07, -0.19,     1,           1,              0,                 20.2,             3,           2.8,          0.79,      78.2,      -114.1,"CCO","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3"
"Ether",                  C₄H₁₀O,           74.12,   0.9,     0,           1,              2,                 9.2,              5,           11.1,         0.706,     34.6,        -116,"CCOCC","InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3"
"Ethylene",               C₂H₄,             28.05,  1.32,     0,           0,              0,                 0,                2,           0,            0.5,     -103.7,        -169,"C=C","InChI=1S/C2H4/c1-2/h1-2H2"
"Fumaric Acid",           C₄H₄O₄,          116.07, -0.01,     2,           4,              2,                 74.6,             8,           119,          1.5,      355.5,         298,"C(=C/C(=O)O)\C(=O)O","InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1+"
"Glutamic Acid",          C₅H₉NO₄,         147.13, -1.43,     3,           5,              4,                 101,             10,           145,          1.46,     333.8,         205,"C(CC(=O)O)[C@@H](C(=O)O)N","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1"
"Glutamine",              C₅H₁₀N₂O₃,       146.14, -1.28,     3,           4,              4,                 106,             10,           146,          1.5,      353.5,         185,"C(CC(=O)N)[C@@H](C(=O)O)N","InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1"
"Glycine",                C₂H₅NO₂,          75.07, -1.03,     2,           3,              1,                 63.3,             5,           42.9,         1.16,     240.9,         233,"C(C(=O)O)N","InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)"
"Guanine",                C₅H₅N₅O,         151.13, -0.98,     3,           3,              0,                 96.2,            11,           225,          2.2,      591.4,         360,"C1=NC2=C(N1)C(=O)NC(=N2)N","InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)"
"Helium",                 He,                4.00,  0.28,     0,           0,              0,                 0,                1,           0,            0.1785,  -268.9,      -272.2,"[He]","InChI=1S/He"
"Heneicosane",            C₂₁H₄₄,           296.6, 11.91,     0,           0,             18,                 0,               21,           143,          0.792,     356.5,       40.5,"CCCCCCCCCCCCCCCCCCCCC","InChI=1S/C21H44/c1-3-5-7-9-11-13-15-17-19-21-20-18-16-14-12-10-8-6-4-2/h3-21H2,1-2H3"
"Heptacene",              C₃₀H₁₈,           378.5,  9.60,     0,           0,              0,                 0,               30,           516,          1.3,       677.0,     264.86,"C1=CC=C2C=C3C=C4C=C5C=C6C=C7C=CC=CC7=CC6=CC5=CC4=CC3=CC2=C1","InChI=1S/C30H18/c1-2-6-20-10-24-14-28-18-30-16-26-12-22-8-4-3-7-21(22)11-25(26)15-29(30)17-27(28)13-23(24)9-19(20)5-1/h1-18H"
"Heptadecane",            C₁₇H₃₆,           240.5,  9.79,     0,           0,             14,                 0,               17,           103,          0.777,     301.8,         22,"CCCCCCCCCCCCCCCCC","InChI=1S/C17H36/c1-3-5-7-9-11-13-15-17-16-14-12-10-8-6-4-2/h3-17H2,1-2H3"
"Heptane",                C₇H₁₆,           100.20,   4.4,     0,           0,              4,                 0,                7,           19.2,         0.684,     98,           -91,"CCCCCCC","InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3"
"Hexabenzocoronene",      C₄₂H₁₈,           522.6, 12.55,     0,           0,              0,                 0,               42,           864,          1.6,       800,          600,"C1=CC2=C3C=CC=C4C3=C5C6=C2C(=C1)C7=C8C6=C9C1=C(C8=CC=C7)C=CC=C1C1=CC=CC2=C1C9=C5C1=C4C=CC=C21","InChI=1S/C42H18/c1-7-19-21-9-2-11-23-25-13-4-15-27-29-17-6-18-30-28-16-5-14-26-24-12-3-10-22-20(8-1)31(19)37-38(32(21)23)40(34(25)27)42(36(29)30)41(35(26)28)39(37)33(22)24/h1-18H"
"Hexacene",               C₂₆H₁₆,           328.4,  8.37,     0,           0,              0,                 0,               26,           418,          1.3,       604.1,      231.7,"C1=CC=C2C=C3C=C4C=C5C=C6C=CC=CC6=CC5=CC4=CC3=CC2=C1","InChI=1S/C26H16/c1-2-6-18-10-22-14-26-16-24-12-20-8-4-3-7-19(20)11-23(24)15-25(26)13-21(22)9-17(18)5-1/h1-16H"
"Hexadecane",             C₁₆H₃₄,           226.44,  8.3,     0,           0,              13,                0,               16,           92.6,         0.773,     287,           18,"CCCCCCCCCCCCCCCC","InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3"
"Hexane",                 C₆H₁₄,            86.18,   3.9,     0,           0,              3,                 0,                6,           12,           0.659,     69,           -95,"CCCCCC","InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3"
"Histidine",              C₆H₉N₃O₂,        155.15, -1.26,     3,           4,              3,                 92,              11,           151,          1.4,      458.9,         287,"C1=C(NC=N1)C[C@@H](C(=O)O)N","InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1"
"Hydrogen Peroxide",      H₂O₂,            34.015, -0.43,     2,           2,              0,                 40.5,             2,           0,            1.11,     150.2,       -0.43,"OO","InChI=1S/H2O2/c1-2/h1-2H"
"Ibuprofen",              C₁₃H₁₈O₂,         206.28,  3.5,     1,           2,              4,                 37.3,            15,           203,          1.03,      157,           76,"CC(C)CC1=CC=C(C=C1)C(C)C(=O)O","InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)"
"Icosane",                C₂₀H₄₂,           282.5, 11.38,     0,           0,             17,                 0,               20,           132,          0.7886,    344.1,      36.47,"CCCCCCCCCCCCCCCCCCCC","InChI=1S/C20H42/c1-3-5-7-9-11-13-15-17-19-20-18-16-14-12-10-8-6-4-2/h3-20H2,1-2H3"
"Isoleucine",             C₆H₁₃NO₂,        131.17,  0.73,     2,           3,              3,                 63.3,             9,           103,          1.0,       225.8,        288,"CC[C@H](C)[C@@H](C(=O)O)N","InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1"
"Krypton",                Kr,                83.8,  0.89,     0,           0,              0,                 0,                1,           0,            2.9,      -153.2,     -157.3,"[Kr]","InChI=1S/Kr"
"Leucine",                C₆H₁₃NO₂,        131.17,  0.73,     2,           3,              3,                 63.3,             9,           101,          1.0,       225.8,        293,"CC(C)C[C@@H](C(=O)O)N","InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1"
"Lipitor",                C₆₆H₆₈CaF₂N₄O₁₀,  1155.3, 5.39,     6,          12,             22,                 229,             83,           817,          NA,        722,          164,"CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.[Ca+2]","InChI=1S/2C33H35FN2O5.Ca/c2*1-21(2)31-30(33(41)35-25-11-7-4-8-12-25)29(22-9-5-3-6-10-22)32(23-13-15-24(34)16-14-23)36(31)18-17-26(37)19-27(38)20-28(39)40;/h2*3-16,21,26-27,37-38H,17-20H2,1-2H3,(H,35,41)(H,39,40);/q;;+2/p-2/t2*26-,27-;/m11./s1"
"Lysine",                 C₆H₁₄N₂O₂,       146.19, -1.04,     3,           4,              5,                 89.3,            10,           106,          1.1,       311.5,        215,"C(CCN)C[C@@H](C(=O)O)N","InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1"
"Maleic Acid",            C₄H₄O₄,          116.07, -0.01,     2,           4,              2,                 74.6,             8,           119,          1.5,       355.5,        137,"C(=C\C(=O)O)\C(=O)O","InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1-"
"Metformin",              C₄H₁₁N₅,          129.16, -1.3,     3,           1,              2,                 91.5,             9,           132,          1.3,       172.5,      224.5,"CN(C)C(=N)N=C(N)N","InChI=1S/C4H11N5/c1-9(2)4(7)8-3(5)6/h1-2H3,(H5,5,6,7,8)"
"Methane",                CH₄,              16.043,  0.6,     0,           0,              0,                 0,                1,           0,            0.716,     -161,        -183,"C","InChI=1S/CH4/h1H4"
"Methionine",             C₅H₁₁NO₂S,        149.21, 0.37,     2,           4,              4,                 88.6,             9,           97,           1.34,      306.9,        280,"CSCC[C@@H](C(=O)O)N","InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1"
"Morphine",               C₁₇H₁₉NO₃,        285.34,  0.8,     2,           4,              0,                 52.9,            21,           494,          1.4,       476.2,        254,"CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O","InChI=1S/C17H19NO3/c1-18-7-6-17-10-3-5-13(20)16(17)21-15-12(19)4-2-9(14(15)17)8-11(10)18/h2-5,10-11,13,16,19-20H,6-8H2,1H3/t10-,11+,13-,16-,17-/m0/s1"
"Neon",                   Ne,                20.18, 0.28,     0,           0,              0,                 0,                1,            0,           1.442,     -246,     -248.67,"[Ne]","InChI=1S/Ne"
"Nitroglycerin",          C₃H₅N₃O₉,         227.09,  1.6,     0,           9,              5,                 165,             15,           219,          1.6,       250,         13.5,"C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]","InChI=1S/C3H5N3O9/c7-4(8)13-1-3(15-6(11)12)2-14-5(9)10/h3H,1-2H2"
"Nonacene",               C₃₈H₂₂,           478.6, 12.06,     0,           0,              0,                 0,               38,           720,          1.3,      753.68,     331.10,"C1=CC=C2C=C3C=C4C=C5C=C6C=C7C=C8C=C9C=CC=CC9=CC8=CC7=CC6=CC5=CC4=CC3=CC2=C1","InChI=1S/C38H22/c1-2-6-24-10-28-14-32-18-36-22-38-20-34-16-30-12-26-8-4-3-7-25(26)11-29(30)15-33(34)19-37(38)21-35(36)17-31(32)13-27(28)9-23(24)5-1/h1-22H"
"Nonadecane",             C₁₉H₄₀,           268.5, 10.85,     0,           0,             16,                 0,               19,           123,          0.786,     330,           33,"CCCCCCCCCCCCCCCCCCC","InChI=1S/C19H40/c1-3-5-7-9-11-13-15-17-19-18-16-14-12-10-8-6-4-2/h3-19H2,1-2H3"
"Nonane",                 C₉H₂₀,            128.25,  4.5,     0,           0,              6,                 0,                9,           33.3,         0.718,     151,          -53,"CCCCCCCCC","InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3"
"Octacene",               C₃₄H₂₀,           428.5, 10.83,     0,           0,              0,                 0,               34,           616,          1.3,       744.7,     297.98,"C1=CC=C2C=C3C=C4C=C5C=C6C=C7C=C8C=CC=CC8=CC7=CC6=CC5=CC4=CC3=CC2=C1","InChI=1S/C34H20/c1-2-6-22-10-26-14-30-18-34-20-32-16-28-12-24-8-4-3-7-23(24)11-27(28)15-31(32)19-33(34)17-29(30)13-25(26)9-21(22)5-1/h1-20H"
"Octadecane",             C₁₈H₃₈,           254.5, 10.32,     0,           0,             15,                 0,               18,           112,          0.777,     317,           28,"CCCCCCCCCCCCCCCCCC","InChI=1S/C18H38/c1-3-5-7-9-11-13-15-17-18-16-14-12-10-8-6-4-2/h3-18H2,1-2H3"
"Octane",                 C₈H₁₈,            114.23,  3.9,     0,           0,              5,                 0,                8,           25,           0.703,     125,          -57,"CCCCCCCC","InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3"
"Oleic Acid",             C₁₈H₃₄O₂,         282.5,   7.7,     1,           2,             15,                 37.3,            20,           234,          0.9,       360,           17,"CCCCCCCC/C=C\CCCCCCCC(=O)O","InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-"
"Ozone",                  O₃,               47.998, -1.7,     0,           2,              0,                 41.1,             3,           4.8,          1.5,      -110.51,    -192.7,"[O-][O+]=O","InChI=1S/O3/c1-3-2"
