"Name",                   "Formula",         "Mass", "log P", "HB Donors", "HB Acceptors", "Rotatable Bonds", "Polar Surface", "Heavy Atom", "Complexity", "Density", "Boiling", "Melting"
"Ozone",                  O₃,               47.998, -1.7,     0,           2,              0,                 41.1,             3,           4.8,          1.5,      -110.51,   -192.7
"Dioxygen",               O₂,                 32,   0.65,     0,           2,              0,                 34.1,             2,           0,            0.00143,  -183,      -218.4
"Paxlovid",               C₂₃H₃₂F₃N₅O₄,     499.5,   2.2,     3,           8,              7,                 131,             35,           964,          1.3,       742.4,     192.9
"Penicillin G",           C₁₆H₁₈N₂O₄S,      334.4,   1.8,     2,           5,              4,                 112,             23,           530,          1.4,       663.3,     215.5
"Pentadecane",            C₁₅H₃₂,          212.41,   7.7,     0,           0,             12,                 0,               15,          84.2,          0.769,     270.6,     9.9
"Pentane",                C₅H₁₂,            72.15,   3.4,     0,           0,              2,                 0,                5,           7.5,          0.626,     36,        -130
"Phenylalanine",          C₉H₁₁NO₂,        165.19,  1.11,     2,           3,              3,                 63.3,            12,           153,          1.2,       307.5,     266
"Proline",                C₅H₉NO₂,         115.13, -0.57,     2,           3,              1,                 49.3,             8,           103,          1.2,       252.2,     208
"Propane",                C₃H₈,             44.10,   1.8,     0,           0,              0,                 0,                3,           0,            0.564,     -42.1,     -188
"Pyrrolysine",            C₁₂H₂₁N₃O₃,      255.31, -2.36,     3,           5,              7,                 105,             18,           331,          1.3,       546.9,    305.09
"Selenocysteine",         C₃H₆NO₂Se,       167.06,  0.34,     2,           3,              2,                 63.3,             7,           75.3,         1.2,       440.2,     143
"Serine",                 C₃H₇NO₃,         105.09, -1.58,     3,           4,              2,                 83.6,             7,           72.6,         1.4,       394.8,     228
"Stearic Acid",           C₁₈H₃₆O₂,         284.5,  8.22,     1,           2,             16,                 37.3,            20,           202,          0.9,       359.4,     69.6
"Tetracosane",            C₂₄H₅₀,          338.7,  13.51,     0,           0,             21,                 0,               24,           174,          0.797,     391.3,     52
"Tetradecane",            C₁₄H₃₀,          198.39,   7.2,     0,           0,             11,                 0,               14,           74,           0.762,     253.52,    5.8
"Thioketal Haloperidol",  C₂₃H₂₇ClFNOS₂,    452.1,   5.4,     1,           5,              6,                 74.1,            29,           509,          1.3,       593.9,     NA
"Thorazine",              C₁₇H₁₉ClN₂S,      318.9,   5.2,     0,           3,              4,                 31.8,            21,           339,          1.2,       450.1,     57
"Threonine",              C₄H₉NO₃,         119.12, -1.23,     3,           4,              2,                 83.6,             8,           93.3,         1.3,       345.8,     256
"Thymine",                C₅H₆N₂O₂,        126.11, -0.12,     2,           2,              0,                 58.2,             9,           195,          1.2,       403.8,     320
"Tricosane",              C₂₃H₄₈,           324.6, 12.98,     0,           0,             20,                 0,               23,           165,          0.797,     380,       48
"Tridecane",              C₁₃H₂₈,           184.36,  6.6,     0,           0,             10,                 0,               13,           66.1,         0.756,     235.4,     -5.37
"Tryptophan",             C₁₁H₁₂N₂O₂,       204.22, 1.04,     3,           3,              3,                 79.1,            15,           245,          1.4,       447.9,     280
"Tyrosine",               C₉H₁₁NO₃,         181.19, 0.38,     3,           4,              3,                 83.6,            13,           176,          1.3,       385.2,     343
"Undecane",               C₁₁H₂₄,           156.31,  5.6,     0,           0,              8,                 0,               11,           49.1,         0.74,      195.9,     -25.54
"Uracil",                 C₄H₄N₂O₂,         112.09, -0.71,    2,           2,              0,                 58.2,             8,           161,          1.3,       440.5,     335
"Urea",                   CH₄N₂O,           60.056, -1.43,    2,           1,              0,                 69.1,             4,           29,           1.6,       165.1,     132.7
"Valine",                 C₅H₁₁NO₂,         117.15,  0.20,    2,           3,              2,                 63.3,             8,           90.4,         1.1,       213.6,     315
"Vanillin",               C₈H₈O₃,           152.15,  1.21,    1,           3,              2,                 46.5,            11,           135,          1.06,      285,       81.5
"Viagra",                 C₂₈H₃₈N₆O₁₁S,     666.7,   1.8,     5,          15,             12,                 250,             46,           1070,         1.447,     672.4,     187
"Vitamin A",              C₂₀H₃₀O,          286.5,   6.84,    1,           1,              5,                 20.2,            21,           496,          1,         421.2,     63
"Vitamin C",              C₆H₈O₆,           176.12, -2.41,    4,           6,              2,                 107,             12,           232,          1.65,      552.7,     190
"Vitamin D",              C₂₇H₄₄O,          384.6,   9.72,    1,           1,              6,                 20.2,            28,           610,          1,         496.4,    -182.85
"Voxelotor",              C₁₉H₁₉N₃O₃,       337.4,   2.7,     1,           5,              6,                 77.2,            25,           434,          1.2,       539.2,     80
"Water",                  H₂O,             18.015,  -0.5,     1,           1,              0,                 1,                1,           0,            1,         100,       0
"Xenon",                  Xe,              131.29,  1.28,     0,           0,              0,                 0,                1,           0,            0.005894,  -108.1,   -111.75
"Zidovudine",             C₁₀H₁₃N₅O₄,      267.24,  0.05,     2,           6,              3,                 93.2,            19,           484,          1.34,      410.43,    113
"Zyrtec",                 C₂₁H₂₇Cl₃N₂O₃,    461.8,  0.86,     3,           5,              8,                 53,              29,           443,          1.237,     542.1,     110
